ar,aldur,eining,tegund,medaltal,tekjur
2006,16 - 24 ára,40,heildartekjur,3445.289725419779,2214.313912848302
2006,16 - 24 ára,50,heildartekjur,3445.289725419779,2675.929842562606
2006,16 - 24 ára,60,heildartekjur,3445.289725419779,3296.226248116202
2006,16 - 24 ára,70,heildartekjur,3445.289725419779,4075.20312950909
2006,16 - 24 ára,80,heildartekjur,3445.289725419779,5116.2432210002025
2006,16 - 24 ára,90,heildartekjur,3445.289725419779,6912.2176975449165
2006,16 - 24 ára,99,heildartekjur,3445.289725419779,12884.373788223724
2007,16 - 24 ára,10,heildartekjur,3631.561510055849,899.3091830195013
2007,16 - 24 ára,20,heildartekjur,3631.561510055849,1405.0275785597298
2007,16 - 24 ára,30,heildartekjur,3631.561510055849,1862.6912849309772
2007,16 - 24 ára,40,heildartekjur,3631.561510055849,2327.2199468977933
2007,16 - 24 ára,50,heildartekjur,3631.561510055849,2819.2084312468846
2007,16 - 24 ára,60,heildartekjur,3631.561510055849,3446.2077089754935
2007,16 - 24 ára,70,heildartekjur,3631.561510055849,4249.407513657033
2007,16 - 24 ára,80,heildartekjur,3631.561510055849,5366.106957202876
2007,16 - 24 ára,90,heildartekjur,3631.561510055849,7196.761782687867
2007,16 - 24 ára,99,heildartekjur,3631.561510055849,13642.955086926888
2008,16 - 24 ára,10,heildartekjur,3375.287126567536,745.3251356499914
2008,16 - 24 ára,20,heildartekjur,3375.287126567536,1271.3175338335002
2008,16 - 24 ára,30,heildartekjur,3375.287126567536,1720.1373021676911
2008,16 - 24 ára,40,heildartekjur,3375.287126567536,2156.771918420411
2008,16 - 24 ára,50,heildartekjur,3375.287126567536,2629.9619909175444
2008,16 - 24 ára,60,heildartekjur,3375.287126567536,3235.1578776306164
2008,16 - 24 ára,70,heildartekjur,3375.287126567536,3994.6990240423243
2008,16 - 24 ára,80,heildartekjur,3375.287126567536,5040.591244368607
2008,16 - 24 ára,90,heildartekjur,3375.287126567536,6726.203948972129
2008,16 - 24 ára,99,heildartekjur,3375.287126567536,13226.98258443704
2009,16 - 24 ára,10,heildartekjur,2719.7369057406777,402.52106204962035
2009,16 - 24 ára,20,heildartekjur,2719.7369057406777,875.7552836484983
2009,16 - 24 ára,30,heildartekjur,2719.7369057406777,1292.7816091954023
2009,16 - 24 ára,40,heildartekjur,2719.7369057406777,1695.3026712450226
2009,16 - 24 ára,50,heildartekjur,2719.7369057406777,2126.8342602892103
2009,16 - 24 ára,60,heildartekjur,2719.7369057406777,2621.8263771340135
2009,16 - 24 ára,70,heildartekjur,2719.7369057406777,3283.6290241975785
2009,16 - 24 ára,80,heildartekjur,2719.7369057406777,4148.505360223114
